,Top_Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week,Duration,Loudness,Tempo,Tempo_Confidence,Meter,Meter_Confidence,Key,Key_Confidence,Mode,Mode_Confidence,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence,Artist_Genres
260,90,Halley's Comet,Billie Eilish,1,2021-08-13,2021-08-13,234.76112,-16.728,72.38,0.197,4.0,0.438,1.0,0.275,0.0,0.583,0.961,0.403,0.159,0.0121,0.34,0.104,0.0381,"['art pop', 'electropop', 'pop']"
261,15,Happier,Olivia Rodrigo,12,2021-06-04,2021-08-20,175.93333,-9.72,168.924,0.146,3.0,1.0,6.0,0.584,1.0,0.648,0.765,0.395,0.443,9.67e-06,0.0839,0.133,0.338,['pop']
262,11,Happier Than Ever,Billie Eilish,21,2021-08-13,2021-12-31,298.89926,-8.697,81.055,0.096,3.0,0.946,0.0,0.578,1.0,0.566,0.767,0.332,0.225,0.00349,0.128,0.0348,0.297,"['art pop', 'electropop', 'pop']"
263,32,Happy Anywhere,Blake Shelton ft. Gwen Stefani,22,2021-01-08,2021-01-15,171.02667,-5.745,82.966,0.057,4.0,0.157,8.0,0.757,1.0,0.616,0.134,0.606,0.737,0.0,0.057,0.0321,0.65,"['contemporary country', 'country', 'country road', 'oklahoma country']"
264,47,Happy Does,Kenny Chesney,14,2021-01-08,2021-02-26,168.73334,-5.486,109.018,0.244,4.0,0.986,6.0,0.799,1.0,0.692,0.3,0.715,0.665,0.0,0.123,0.0383,0.597,"['contemporary country', 'country', 'country road']"
265,18,Happy Holiday / The Holiday Season,Andy Williams,12,2021-01-01,2021-12-31,156.86667,-10.193,74.347,0.199,4.0,0.459,9.0,0.247,0.0,0.359,0.727,0.505,0.451,0.0,0.233,0.0329,0.744,"['adult standards', 'easy listening']"
266,49,Hard For The Next,Moneybagg Yo & Future,5,2021-04-09,2021-05-21,166.32639,-7.326,175.053,0.289,3.0,0.236,1.0,0.719,1.0,0.662,0.0329,0.639,0.564,0.0,0.228,0.389,0.375,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
267,16,Hats Off,"Lil Baby, Lil Durk & Travis Scott",11,2021-06-18,2021-08-27,257.42844,-5.167,133.997,0.321,4.0,1.0,9.0,0.248,1.0,0.179,0.138,0.596,0.65,0.0,0.14,0.337,0.188,"['atl hip hop', 'atl trap', 'rap', 'trap']"
268,28,Have Mercy,Chloe,15,2021-09-24,2021-12-31,148.77864,-6.434,130.022,0.262,4.0,1.0,9.0,0.512,1.0,0.478,0.297,0.903,0.535,0.0,0.345,0.0742,0.508,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'rap']"
269,47,Have Yourself A Merry Little Christmas,Michael Buble,2,2021-01-01,2021-12-31,230.30667,-11.395,68.764,0.165,3.0,0.011,9.0,0.673,1.0,0.41,0.602,0.275,0.276,0.00167,0.121,0.0321,0.195,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']"
270,15,Having Our Way,Migos ft. Drake,4,2021-06-25,2021-07-16,278.19144,-3.917,125.983,0.678,4.0,1.0,1.0,1.0,1.0,0.825,0.0312,0.927,0.538,0.0,0.0945,0.116,0.221,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
271,43,Hawai,Maluma & The Weeknd,21,2021-01-01,2021-01-22,199.11234,-3.454,180.067,0.284,4.0,1.0,6.0,0.041,0.0,0.403,0.185,0.783,0.727,2.46e-05,0.0626,0.389,0.558,"['reggaeton', 'reggaeton colombiano']"
272,42,Headshot,"Lil Tjay, Polo G & Fivio Foreign",8,2021-04-02,2021-05-21,144.34901,-7.266,118.0,0.721,4.0,0.974,1.0,0.0,0.0,0.2,0.0802,0.808,0.639,0.0,0.15,0.279,0.395,"['brooklyn drill', 'melodic rap', 'nyc rap']"
273,83,Heart Of A Giant,Polo G ft. Rod Wave,1,2021-06-25,2021-06-25,168.76535,-6.768,87.501,0.023,4.0,1.0,8.0,0.506,1.0,0.64,0.498,0.802,0.588,0.0,0.111,0.137,0.522,['chicago rap']
274,89,Heart On Fire,Eric Church,5,2021-12-03,2021-12-31,258.8,-4.699,119.97,0.82,4.0,1.0,8.0,0.806,1.0,0.724,0.0352,0.653,0.927,4.47e-05,0.0966,0.0289,0.894,"['contemporary country', 'country', 'country road']"
275,16,Heartbreak Anniversary,Giveon,29,2021-02-26,2021-09-10,198.37099,-8.964,89.087,0.181,3.0,0.0,0.0,0.735,1.0,0.642,0.524,0.449,0.465,1.02e-06,0.303,0.0791,0.543,"['pop', 'r&b']"
276,7,Heat Waves,Glass Animals,49,2021-01-15,2021-12-31,238.80508,-6.9,80.87,0.304,4.0,1.0,11.0,0.404,1.0,0.42,0.44,0.761,0.525,6.7e-06,0.0921,0.0944,0.531,"['gauze pop', 'indietronica', 'shiver pop']"
277,42,Heaven And Hell,Kanye West,1,2021-09-10,2021-09-10,145.30118,-7.265,82.986,0.604,4.0,1.0,0.0,0.354,0.0,0.497,0.0409,0.764,0.422,0.0,0.152,0.119,0.268,"['chicago rap', 'rap']"
278,28,Hell Of A View,Eric Church,21,2021-01-15,2021-06-11,175.02667,-6.758,98.997,0.474,4.0,0.947,5.0,0.805,1.0,0.619,0.101,0.689,0.592,0.00867,0.11,0.0235,0.919,"['contemporary country', 'country', 'country road']"
279,69,Hellcats & Trackhawks,Lil Durk,9,2021-03-19,2021-05-21,,,,,,,,,,,,,,,,,,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
280,83,Hello,Pop Smoke ft. A Boogie Wit da Hoodie,11,2021-03-05,2021-06-11,190.53433,-5.065,130.97,0.536,4.0,1.0,10.0,0.428,0.0,0.562,0.0187,0.905,0.647,0.0,0.282,0.107,0.367,['brooklyn drill']
281,26,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,10,2021-01-01,2021-01-01,150.26666,-11.99,96.628,0.433,4.0,0.842,1.0,0.703,1.0,0.726,0.799,0.834,0.371,0.0,0.275,0.0358,0.976,"['adult standards', 'cowboy western', 'oklahoma country', 'traditional country', 'yodeling']"
282,91,Hibachi,Roddy Ricch ft. Kodak Black & 21 Savage,1,2021-12-31,2021-12-31,170.41347,-8.74,172.946,0.217,4.0,1.0,5.0,0.489,0.0,0.407,0.0191,0.681,0.522,0.0,0.415,0.303,0.219,"['melodic rap', 'rap', 'trap']"
